,billing_npi,ae_reconstruction_error
217502,1679525919,29250.74
19094,1053688572,17038.11
176429,1548343510,14805.543
35879,1104981356,12070.04
310311,1962461889,9176.485
138195,1427271378,8646.698
20774,1063525152,8482.267
75968,1235226531,6748.0796
66978,1205822236,6710.666
172373,1538151428,5369.774
6995,1023041159,5339.434
1733,1003803032,5097.311
33886,1104202761,4608.422
261042,1801874573,4581.4097
221001,1689606196,4154.474
246324,1760445373,4150.4346
262510,1811062763,4023.3752
224799,1699720086,3737.843
214701,1669499414,3702.412
34455,1104802354,3617.8079
12721,1033535497,3584.1416
93311,1285826438,3557.8555
279910,1861675506,3281.6162
72214,1225060742,3176.3318
185599,1578545273,3160.612
253558,1780669200,3087.5652
232684,1710959457,3048.8213
153180,1477554814,3028.0059
95775,1295763217,2980.8176
57113,1174680557,2703.2317
89204,1275665457,2619.1445
114252,1356379382,2484.6602
10243,1033138250,2482.5977
96010,1295789907,2440.9287
16966,1053353896,2429.7776
305284,1942451216,2403.7283
20273,1063463768,2372.9685
198566,1619105244,2357.5002
153949,1477643690,2302.4468
121786,1376709535,2296.4155
112010,1346403854,2185.2761
60876,1184786527,2073.4924
188953,1588614994,2048.5566
140968,1437292927,2013.7074
269396,1831218627,1970.9609
42991,1134152986,1968.2739
103711,1316979834,1926.8579
260760,1801840434,1926.599
82018,1255382784,1918.6963
58902,1184046187,1911.1342
193132,1598784555,1901.1659
197147,1609915784,1880.7426
163981,1508809427,1831.5074
265046,1811973100,1828.7416
104678,1326093873,1815.9467
128914,1396882205,1795.3594
13544,1043242555,1788.3334
13868,1043278351,1787.3444
261523,1801929757,1777.6559
228531,1700828852,1748.5894
175218,1548205909,1720.6641
87909,1275504508,1707.3973
132138,1407897309,1661.951
117908,1366539421,1660.3126
544902,1043917180,1657.2269
253158,1780621904,1656.4996
213546,1659769446,1640.7319
196361,1609824010,1640.4098
73997,1225327984,1595.1725
551519,1205553369,1578.0199
10426,1033157821,1551.1173
49023,1154317527,1488.2162
234755,1720220098,1481.6652
120480,1376544320,1468.9576
31264,1093768723,1463.0155
116957,1366425274,1442.546
104652,1326091448,1425.0751
42978,1134151657,1400.6859
234931,1720251788,1387.0951
132064,1407888928,1383.9272
326267,1023584216,1383.3657
290842,1902032832,1373.1464
24100,1073606299,1283.8063
20167,1063452381,1269.185
306893,1952333460,1266.5198
27349,1083648810,1252.8282
45844,1144211301,1251.6594
297967,1922112044,1212.7074
317111,1982637633,1206.3651
153310,1477569838,1195.3975
254549,1780800128,1192.7625
232364,1710924683,1178.764
71607,1215989249,1177.4596
108096,1336222397,1162.4988
224861,1699725143,1157.6932
136323,1427016385,1153.7994
221183,1689624686,1136.5234
46305,1144266024,1133.7037
275910,1851437719,1130.3141
85219,1265485270,1117.3829
