,billing_npi,svd_knn_anomaly,nmf_knn_anomaly
5,100068590A,1.0,1.0
6,100077140A,1.0,1.0
7,100077400A,1.0,1.0
8,100077550A,1.0,1.0
9,100094610A,1.0,1.0
10,100095220A,1.0,1.0
11,100095250A,1.0,1.0
12,100107920A,1.0,1.0
13,100107930A,1.0,1.0
14,100107990A,1.0,1.0
15,100108370A,1.0,1.0
16,100109230A,1.0,1.0
17,100129840A,1.0,1.0
18,100156270A,1.0,1.0
19,100185460A,1.0,1.0
20,100187000A,1.0,1.0
21,100192000A,1.0,1.0
22,100199890A,1.0,1.0
23,100229470A,1.0,1.0
24,100229860H,1.0,1.0
25,100245810A,1.0,1.0
26,100272900A,1.0,1.0
27,100289990A,1.0,1.0
59,1003004938,1.0,1.0
74,1003007063,1.0,1.0
120,1003014291,1.0,1.0
162,1003020579,1.0,1.0
215,1003029877,1.0,1.0
234,1003032178,1.0,1.0
238,1003032509,1.0,1.0
264,1003036880,1.0,1.0
391,1003059874,1.0,1.0
405,1003062274,1.0,1.0
432,1003067620,1.0,1.0
488,1003077926,1.0,1.0
539,1003085630,1.0,1.0
576,1003090739,1.0,1.0
589,1003092891,1.0,1.0
627,1003099128,1.0,1.0
733,1003124660,1.0,1.0
760,1003132127,1.0,1.0
780,1003136201,1.0,1.0
793,1003139502,1.0,1.0
794,1003139577,1.0,1.0
808,1003142290,1.0,1.0
863,1003150426,1.0,1.0
1048,1003194002,1.0,1.0
1171,1003222944,1.0,1.0
1188,1003225509,1.0,1.0
1212,1003230574,1.0,1.0
1248,1003238569,1.0,1.0
1261,1003240607,1.0,1.0
1330,1003254400,1.0,1.0
1432,1003279753,1.0,1.0
1487,1003293911,1.0,1.0
1527,1003309238,1.0,1.0
1548,1003320813,1.0,1.0
1626,1003352659,1.0,1.0
1651,1003359555,1.0,1.0
1652,1003359878,1.0,1.0
1671,1003362294,1.0,1.0
1773,1003807421,1.0,1.0
1779,1003807868,1.0,1.0
1788,1003809369,1.0,1.0
1795,1003810516,1.0,1.0
1814,1003812454,1.0,1.0
1818,1003812611,1.0,1.0
1860,1003815879,1.0,1.0
1922,1003821000,1.0,1.0
1958,1003824152,1.0,1.0
1979,1003826462,1.0,1.0
1997,1003828732,1.0,1.0
2033,1003833377,1.0,1.0
2044,1003834631,1.0,1.0
2154,1003848375,1.0,1.0
2217,1003854324,1.0,1.0
2326,1003865601,1.0,1.0
2395,100387230A,1.0,1.0
2408,1003874462,1.0,1.0
2426,1003875923,1.0,1.0
2463,100388080A,1.0,1.0
2520,1003887225,1.0,1.0
2525,1003887340,1.0,1.0
2530,1003887845,1.0,1.0
2532,1003887993,1.0,1.0
2539,1003889148,1.0,1.0
2588,1003894411,1.0,1.0
2659,1003903717,1.0,1.0
2675,1003905597,1.0,1.0
2679,1003906470,1.0,1.0
2699,1003908856,1.0,1.0
2717,1003910951,1.0,1.0
2817,1003925397,1.0,1.0
2845,1003929340,1.0,1.0
2867,1003933482,1.0,1.0
2937,1003943259,1.0,1.0
2959,1003946187,1.0,1.0
3084,1003963612,1.0,1.0
3085,1003963794,1.0,1.0
3094,1003964545,1.0,1.0
