,threshold,mean_excess,n_exceedances
0,55473.14,3611976.851867009,297117
1,598949.160106058,7940252.375460255,123218
2,1142425.1802121159,10429460.341441356,88420
3,1685901.2003181737,12427385.324153908,70759
4,2229377.220424232,14189494.40906964,59491
5,2772853.24053029,15804418.316596482,51510
6,3316329.260636348,17270965.674529508,45611
7,3859805.280742406,18678359.9007083,40918
8,4403281.300848464,20058854.279003344,37047
9,4946757.320954521,21438113.792061944,33768
10,5490233.34106058,22759195.832659535,31034
11,6033709.361166637,24007668.57145478,28744
12,6577185.381272695,25212156.56056946,26773
13,7120661.401378754,26422071.283908874,25015
14,7664137.421484811,27601820.646101363,23469
15,8207613.44159087,28751769.89592768,22100
16,8751089.461696928,29844400.619493503,20900
17,9294565.481802987,30950359.602338757,19796
18,9838041.501909044,32063335.50076692,18782
19,10381517.522015102,33071859.20930889,17908
20,10924993.54212116,34118107.94313059,17080
21,11468469.562227217,35308210.048486724,16248
22,12011945.582333276,36543732.123737335,15463
23,12555421.602439335,37530205.19364209,14837
24,13098897.622545391,38630817.47897889,14210
25,13642373.64265145,39746403.37105386,13621
26,14185849.662757508,40732334.27433011,13113
27,14729325.682863567,41709600.92888038,12638
28,15272801.702969624,42783738.88183593,12163
29,15816277.723075682,43851105.089069545,11719
30,16359753.74318174,44688795.01601097,11359
31,16903229.763287798,45817372.32114173,10947
32,17446705.783393856,46894075.08417118,10571
33,17990181.803499915,47820334.99295111,10248
34,18533657.823605973,48642174.98944562,9962
35,19077133.84371203,49642306.59082392,9654
36,19620609.863818087,50579150.7286347,9373
37,20164085.883924145,51624726.03006441,9086
38,20707561.904030204,52510456.42748336,8840
39,21251037.924136262,53443734.491310984,8597
40,21794513.94424232,54322328.64532295,8373
41,22337989.96434838,55284646.24633417,8146
42,22881465.984454434,56012690.7305041,7962
43,23424942.004560493,56794728.251053505,7777
44,23968418.02466655,57613491.80128946,7594
45,24511894.04477261,58549469.44426291,7403
46,25055370.06487867,59202757.889456876,7254
47,25598846.084984727,60159060.103858925,7074
48,26142322.105090782,61018974.31380823,6912
49,26685798.12519684,62007692.193830155,6742
50,27229274.1453029,62888044.61534657,6590
51,27772750.165408958,63842887.54205377,6436
52,28316226.185515016,64836747.00905374,6284
53,28859702.205621075,65678627.80247384,6152
54,29403178.225727133,66580382.904817805,6019
55,29946654.24583319,67431786.65889624,5895
56,30490130.265939247,68200754.96086809,5782
57,31033606.286045305,69268751.14660342,5648
58,31577082.306151364,70095461.35964316,5538
59,32120558.326257423,70718333.25884263,5447
60,32664034.34636348,71492414.2434869,5347
61,33207510.366469536,72250952.30680223,5251
62,33750986.386575595,72849559.68473996,5169
63,34294462.40668166,73680345.62788962,5073
64,34837938.42678771,74283361.15304013,4995
65,35381414.44689377,75021346.54610011,4910
66,35924890.46699983,75574643.80421737,4839
67,36468366.48710588,76104519.02902071,4771
68,37011842.507211946,77068253.42453451,4678
69,37555318.527318,77758825.4883727,4604
70,38098794.54742406,78882727.77155751,4507
71,38642270.56753012,80013526.44227047,4413
72,39185746.58763617,80998832.60556936,4330
73,39729222.607742235,81723984.02759907,4263
74,40272698.62784829,82461470.81709571,4197
75,40816174.64795435,83251597.48753233,4130
76,41359650.66806041,84013969.91554265,4066
77,41903126.68816646,84682648.15220779,4008
78,42446602.708272524,85443389.7901744,3947
79,42990078.72837858,86170836.17163171,3889
80,43533554.74848464,86519859.32740779,3849
81,44077030.768590696,87180391.44341405,3796
82,44620506.78869676,87796888.22915696,3746
83,45163982.80880281,88557633.36374393,3691
84,45707458.82890887,89300343.31101142,3638
85,46250934.84901493,89872318.89055645,3593
86,46794410.869120985,90901970.02540183,3531
87,47337886.88922705,91660760.56172957,3481
88,47881362.9093331,92992850.74810754,3411
89,48424838.929439165,93521568.32353236,3372
90,48968314.94954522,94296079.95802169,3325
91,49511790.969651274,95013743.35828534,3281
92,50055266.98975734,95846758.39992417,3234
93,50598743.00986339,96561121.5031974,3192
94,51142219.029969454,97394643.78442839,3147
95,51685695.05007551,98196973.95964742,3104
96,52229171.07018156,98513031.60846971,3077
97,52772647.090287626,99329601.87063494,3035
98,53316123.11039368,99841750.9907618,3003
99,53859599.130499735,100336319.24873646,2972
