,threshold,threshold_quantile,n_total,n_exceedances,exceed_prob,shape_xi,scale_sigma,ks_statistic,ks_p_value,VaR_0.95,CVaR_0.95,VaR_0.99,CVaR_0.99,VaR_0.995,CVaR_0.995,return_10,return_50,return_100,year
0,1225738.6929999979,0.95,312668,15634,0.05000191896836261,0.6975835853572472,1381470.3426707475,0.009669424754608524,0.1067827327984362,1225791.712649942,5794020.3583742045,5331583.490405508,19370637.16538772,9115904.56859793,31884247.191030256,466507.4625533089,2998155.5540318824,5331583.490405512,2018
1,5498871.166300032,0.99,312668,3127,0.010001023449793391,0.5594709687638006,4671229.434267863,0.01029367174705964,0.8913317671046154,542824.4815651486,4852336.590206885,5499349.232403225,16103637.638242755,9454911.377861964,25082755.61909128,-547955.7117367005,2815298.8189108614,5499349.232403229,2018
2,1408334.4189999977,0.95,317264,15864,0.05000252155933229,0.6950772831800573,1574589.6104672817,0.008778404827712527,0.17233314123577193,1408413.8268119898,6572492.192161642,6077051.136490397,21883379.351924308,10369035.127643809,35959024.60366144,542288.3563848094,3425994.6472668527,6077051.136490402,2019
3,6262221.026799998,0.99,317264,3173,0.01000113470169953,0.5809058733403594,5184553.336308833,0.011585175320130592,0.783420856669365,841552.3574465616,5698826.509853307,6262809.304960922,18634481.301114872,10687983.379258431,29193383.926565718,-319961.7419666145,3304386.328212166,6262809.304960928,2019
4,1344739.4099999976,0.95,333849,16693,0.0500016474513927,0.7041424537743597,1575025.9330966237,0.00916225214198041,0.12053139539983693,1344791.3053203952,6668510.4224715335,6055169.793361396,22589613.494314622,10426200.398041083,37363719.007060446,480935.2267581152,3372199.602334928,6055169.7933614,2020
5,6267137.714800006,0.99,333849,3339,0.010001527636745954,0.6313263726122373,4998413.083181648,0.007228974086792794,0.9944289053507139,1216251.1260173228,6124807.204280888,6267901.269248957,19827035.321396574,10614837.711672178,31617779.544745132,200337.1904427074,3461594.685750773,6267901.269248962,2020
6,1618522.560000001,0.95,346127,17307,0.05000187792342117,0.7009112806367754,1845437.5788237397,0.008119916079491807,0.20280253168530404,1618591.8714197369,7788955.514384424,7120725.898270374,26185282.993952915,12209494.538862972,43199527.63489709,605377.3030432457,3990199.3836758602,7120725.89827038,2021
7,7317069.538599975,0.99,346127,3462,0.010002109052457624,0.5961505242978749,6061260.366501203,0.01265778122205119,0.631243000233805,1045300.8033373607,6795815.008318795,7318347.835771427,22328946.558205947,12521398.42712167,35212584.904657476,-273282.35512451734,3876442.9959075577,7318347.835771431,2021
8,1808780.3289999992,0.95,345104,17256,0.05000231814177755,0.694036900917437,2035795.1481219803,0.009144882403651966,0.11087674618910581,1808874.7135662367,8462816.514386004,7838989.952477498,28171452.15375785,13376661.998409854,46270602.222956344,688688.2216432127,4416034.028426029,7838989.952477504,2022
9,8073760.348999998,0.99,345104,3452,0.010002781770133062,0.6025102912792288,6484262.401232671,0.010850786886271155,0.8068188645406038,1393300.121634609,7580168.133080409,8075564.022037351,24391330.16771035,13655088.643000055,38428233.510237426,-135.49509893730283,4400850.157184223,8075564.022037355,2022
10,1965879.9979999948,0.95,349308,17466,0.05000171768181662,0.708089688014903,2188253.559798448,0.01103135310302894,0.028292109959698886,1965955.1720900629,9462459.06369685,8534989.918564027,31966065.40018467,14655613.324372033,52933544.63785026,767267.6880424838,4788371.851835758,8534989.918564035,2023
11,8921841.762999982,0.99,349308,3494,0.010002633778785484,0.6012360299493545,7124032.750497442,0.009330658744386072,0.9184101704921603,1575881.725717796,8365303.802068964,8923717.97711417,26791833.78787273,15050796.054410841,42157008.521483935,41203.31160673313,4884815.795568693,8923717.977114176,2023
12,1943709.6500000034,0.95,330182,16510,0.05000272576942413,0.7116916123412695,2135934.4218160943,0.01046953776090831,0.05322359350325889,1943826.0903797334,9352619.531332556,8377982.008857997,31669541.944614373,14395207.384298839,52540337.36026286,775121.7256969577,4703841.54669819,8377982.008858002,2024
13,8638966.539900001,0.99,330182,3302,0.010000545153884826,0.5964812071712587,7175722.076746581,0.008925323632794968,0.9529773350963103,1215265.193400181,8024424.480991521,8639357.722874096,26422805.576032113,14799254.482793007,41688257.56833437,-344618.52932360396,4565417.0690549705,8639357.722874101,2024
