month,total_paid,total_claims
2018-01,9232048522.37,187217689
2018-02,8420467832.359999,171352502
2018-03,9129935988.66,183682093
2018-04,8981173692.470001,179619696
2018-05,9384689427.05,185076176
2018-06,8607149265.449999,164850507
2018-07,8854594623.629988,169724543
2018-08,9492334835.450003,186434915
2018-09,8661621043.37,168487953
2018-10,9921379666.38,198197925
2018-11,9072923512.38,173605775
2018-12,8907431063.820002,166190908
2019-01,10529905105.900002,202463697
2019-02,9680573063.790003,187149977
2019-03,10638499933.199997,202656457
2019-04,10662800690.75,204034522
2019-05,10788430160.419994,203400802
2019-06,9722889154.489996,179172702
2019-07,10364775003.790003,193812066
2019-08,10628704037.169998,202465238
2019-09,10530148010.35,201493119
2019-10,11890862793.229998,229836010
2019-11,10694811682.100002,197813102
2019-12,10773796446.440002,195213165
2020-01,12417328718.269987,231493965
2020-02,11387443071.260004,210768595
2020-03,10327180044.76001,175476623
2020-04,8541553016.110001,126498275
2020-05,9276309404.63001,146927456
2020-06,10386347586.829998,180029356
2020-07,11043497587.590002,193266077
2020-08,10945591115.5,193099010
2020-09,11345841778.780003,204909864
2020-10,12256768912.53,220267867
2020-11,11824939391.279997,207113269
2020-12,12337430898.160007,214312315
2021-01,12594444977.409994,222768005
2021-02,11715579066.729994,206952736
2021-03,14136311330.650002,258070549
2021-04,13565862878.510002,245380331
2021-05,13208518113.690004,232574191
2021-06,13415399746.469986,237429997
2021-07,13562082770.469995,238882520
2021-08,14202719417.5,256226837
2021-09,14024666614.740007,255309350
2021-10,14165659978.039997,255714420
2021-11,13904172445.350006,248630420
2021-12,14062529938.429995,246625408
2022-01,14412456539.880001,251898388
2022-02,13250746218.499994,235438630
2022-03,15695994584.589996,280314489
2022-04,14609179171.900002,254562730
2022-05,14956401093.079994,257888000
2022-06,14650484215.68,250499963
2022-07,14067993433.62,234428626
2022-08,15825029409.53999,273676256
2022-09,15268172192.710005,263892615
2022-10,15854981611.139994,269996140
2022-11,15675981809.009998,263677624
2022-12,15297538611.299984,251420641
2023-01,16594310221.530012,280827661
2023-02,15394753399.569994,259922326
2023-03,17668427237.500004,298461892
2023-04,16091892914.07,265379484
2023-05,17280277362.92001,287129748
2023-06,16029192012.870007,261269038
2023-07,15725897305.95999,246824756
2023-08,17348504365.579998,279910801
2023-09,16361790144.500008,259464154
2023-10,17484140655.95001,276564708
2023-11,16663518408.74,259356081
2023-12,16152279164.089998,243448023
2024-01,17783239324.270008,272010590
2024-02,17169976799.300001,266795878
2024-03,17501161887.449997,264969435
2024-04,17396698624.100014,267197354
2024-05,17580257320.49001,262777836
2024-06,15770419278.259998,228543520
2024-07,16423060106.69,242983356
2024-08,16347006139.25,246659583
2024-09,15626350800.430002,233168618
2024-10,16310402111.530003,244177082
2024-11,12874830358.750002,183954822
2024-12,4199364318.950001,63394189
