,npi_1,npi_2,jaccard_similarity,shared_codes,total_codes_union
48,1497014252,1649462169,1.0,5,5
12,1114058872,1134250475,1.0,10,10
69,1730302829,1942339825,1.0,10,10
74,1750781076,1881994762,1.0,5,5
42,1487721155,1497014252,1.0,5,5
76,1780921387,1881994762,1.0,5,5
43,1487721155,1497102180,1.0,5,5
45,1487721155,1649462169,1.0,5,5
32,1386773273,1508089699,1.0,8,8
46,1497014252,1497102180,1.0,5,5
23,1205965258,1386773273,1.0,8,8
72,1750781076,1780921387,1.0,5,5
11,1104991066,1306912282,1.0,6,6
10,1104176676,1295261683,1.0,6,6
55,1528315397,1669562328,1.0,7,7
84,1851422661,1982735643,1.0,8,8
7,1033370317,1124155825,1.0,5,5
50,1497102180,1649462169,1.0,5,5
54,1528281532,1730302829,0.9090909090909091,10,11
87,1972954923,1376040303,0.9090909090909091,10,11
18,1134250475,1285758300,0.9,9,10
28,1295869428,1447382817,0.9,9,10
14,1114058872,1285758300,0.9,9,10
3,1003930256,1114058872,0.9,9,10
4,1003930256,1134250475,0.9,9,10
15,1114058872,1295869428,0.9,9,10
17,1134250475,1245364595,0.9,9,10
26,1285758300,1447382817,0.9,9,10
13,1114058872,1245364595,0.9,9,10
19,1134250475,1295869428,0.9,9,10
27,1295869428,1386773273,0.8888888888888888,8,9
67,1679602502,1851422661,0.8888888888888888,8,9
21,1205965258,1245364595,0.8888888888888888,8,9
51,1508089699,1679602502,0.8888888888888888,8,9
24,1245364595,1386773273,0.8888888888888888,8,9
22,1205965258,1295869428,0.8888888888888888,8,9
31,1316012263,1417011263,0.875,7,8
80,1831264290,1972678266,0.875,7,8
65,1669562328,1871821710,0.8571428571428571,6,7
70,1730438706,1871821710,0.8571428571428571,6,7
79,1801922620,1821032913,0.8571428571428571,6,7
29,1306912282,1417011263,0.8571428571428571,6,7
20,1184780629,1265782395,0.8571428571428571,12,14
81,1841302445,1871821710,0.8571428571428571,6,7
57,1609099910,1790908002,0.8461538461538461,11,13
53,1528281532,1609099910,0.8461538461538461,11,13
64,1659352276,1740262880,0.841715976331361,569,676
73,1750781076,1801060363,0.8333333333333334,5,6
62,1649462169,1871821710,0.8333333333333334,5,6
63,1649472853,1841739752,0.8333333333333334,5,6
86,1871821710,1982843124,0.8333333333333334,5,6
85,1851781314,1932652815,0.8333333333333334,10,12
82,1841476009,1982843124,0.8333333333333334,5,6
83,1841739752,1922467554,0.8333333333333334,5,6
75,1780921387,1801060363,0.8333333333333334,5,6
60,1649462169,1801060363,0.8333333333333334,5,6
78,1801060363,1982843124,0.8333333333333334,5,6
68,1699984724,1841476009,0.8333333333333334,5,6
77,1801060363,1881994762,0.8333333333333334,5,6
61,1649462169,1841476009,0.8333333333333334,5,6
44,1487721155,1639473580,0.8333333333333334,5,6
59,1639473580,1649462169,0.8333333333333334,5,6
39,1477921609,1497014252,0.8333333333333334,5,6
16,1124155825,1306878798,0.8333333333333334,5,6
25,1275752065,1376609297,0.8333333333333334,5,6
30,1306912282,1477628758,0.8333333333333334,5,6
33,1427182286,1568512770,0.8333333333333334,10,12
34,1447488721,1487721155,0.8333333333333334,5,6
35,1447488721,1497014252,0.8333333333333334,5,6
36,1447488721,1497102180,0.8333333333333334,5,6
38,1477921609,1487721155,0.8333333333333334,5,6
37,1447488721,1649462169,0.8333333333333334,5,6
40,1477921609,1497102180,0.8333333333333334,5,6
41,1477921609,1649462169,0.8333333333333334,5,6
47,1497014252,1639473580,0.8333333333333334,5,6
49,1497102180,1639473580,0.8333333333333334,5,6
1,1003039322,1114058872,0.8181818181818182,9,11
66,1679602502,1790908002,0.8181818181818182,9,11
6,1023140498,1134250475,0.8181818181818182,9,11
5,1023140498,1114058872,0.8181818181818182,9,11
2,1003039322,1134250475,0.8181818181818182,9,11
0,1003039322,1023140498,0.8181818181818182,9,11
52,1518903350,1619913449,0.8167456556082149,517,633
58,1619913449,1790721538,0.8129952456418383,513,631
71,1740262880,1932184322,0.8102643856920684,521,643
8,1073055208,1124560248,0.8095238095238095,34,42
9,1073055208,1184166027,0.8043478260869565,37,46
56,1538144910,1659352276,0.8033635187580854,621,773
